falcon_name,fn_name
ℝ,real_range
RealRange,real_range
FloatRange,real_range
real_range,real_range
ℤ,integer_range
IntegerRange,integer_range
IntRange,integer_range
integer_range,integer_range
Reals,reals
Floats,reals
reals,reals
Integers,integers
Ints,integers
integers,integers
Numbers,numbers
MixedNumbers,numbers
numbers,numbers
IntegerBoundary,int_boundary
IntBoundary,int_boundary
int_boundary,int_boundary
Boundary,boundary
boundary,boundary
Cartesian,cartesian
CartesianProduct,cartesian
Product,cartesian
cartesian,cartesian
grid,grid
PermutationsOf,permutations_of
PermsOf,permutations_of
permutations_of,permutations_of
TwiseCombinations,twise_combination
TwiseCombs,twise_combination
twise_combination,twise_combination
TwiseCombinationsOf,twise_combinations_of
TwiseCombsOf,twise_combinations_of
twise_combinations_of,twise_combinations_of
CSVDomain,CSVDomain
ART,ART
Art,ART
ARTDomain,ART
